note0,note1,note2,note3
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
65,62,62,58
65,62,62,58
65,62,62,58
65,62,62,58
67,64,60,57
67,64,60,57
67,64,58,55
67,64,58,55
69,65,57,53
69,65,57,53
70,67,57,53
70,67,57,53
72,69,57,53
72,69,57,53
72,69,55,52
72,69,55,52
70,69,53,50
70,69,53,50
70,69,53,50
70,69,53,50
70,67,60,52
70,67,60,52
70,67,60,52
70,67,60,52
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
69,65,60,53
70,65,60,55
70,65,60,55
72,65,60,57
72,65,60,57
72,64,60,57
72,64,60,57
72,65,60,45
72,65,60,45
72,67,60,46
72,67,60,46
67,64,60,48
67,64,60,48
67,62,60,48
67,62,60,48
69,60,60,45
69,60,60,45
67,60,59,45
67,60,59,45
65,60,57,50
65,60,57,50
65,60,55,50
65,60,55,50
65,59,53,50
65,59,53,50
65,59,53,50
65,59,53,50
64,60,55,48
64,60,55,48
64,60,55,48
64,60,55,48
60,64,58,48
60,64,58,48
60,64,58,48
60,64,58,48
65,62,57,50
65,62,57,50
65,62,57,50
65,62,57,50
67,60,55,52
67,60,55,52
67,60,55,52
67,60,55,52
69,60,53,53
69,60,53,53
70,60,53,53
72,60,53,53
70,62,53,46
70,62,53,46
69,62,53,46
69,62,53,46
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
67,64,60,48
69,64,57,49
69,64,57,49
69,64,57,49
69,64,57,49
65,62,57,50
65,62,57,50
65,62,57,50
65,62,57,50
67,60,55,52
67,60,55,52
67,60,55,52
67,60,55,52
69,60,53,53
69,60,53,53
70,60,55,53
70,60,55,53
72,62,57,54
72,62,57,54
72,62,57,54
72,62,57,54
70,62,55,55
70,62,55,55
70,62,57,55
70,62,57,55
70,67,58,43
70,67,58,43
70,67,60,43
70,67,60,43
69,66,62,50
69,66,62,50
69,66,62,50
69,66,62,50
69,65,62,62
69,65,62,62
70,65,62,62
70,65,62,62
72,65,60,57
72,65,60,57
72,65,58,55
72,65,58,55
72,65,60,57
72,65,60,57
72,65,62,58
72,65,62,58
67,64,64,60
67,64,64,60
67,62,64,60
67,62,64,60
69,60,65,53
69,60,65,53
67,60,65,52
67,60,65,52
65,60,53,50
65,60,53,50
65,60,57,48
65,60,57,48
65,59,55,50
65,59,55,50
65,59,53,50
65,59,53,50
64,60,55,48
64,60,55,48
64,60,55,48
64,60,55,48
60,55,52,46
60,55,52,46
60,55,52,46
60,55,52,46
65,60,53,45
65,60,53,45
65,60,60,45
65,60,60,45
67,58,62,43
67,58,62,43
67,58,64,43
67,58,64,43
69,57,65,41
69,57,65,41
69,60,60,41
69,60,60,41
67,65,58,50
67,65,58,50
69,65,53,50
70,65,53,50
69,65,60,48
69,65,60,48
69,65,60,46
69,65,60,46
67,64,60,48
67,64,60,48
67,64,58,48
67,64,58,48
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
65,60,57,41
